recipe_name,recipe_group,status,menu_price,food_cost,food_cost_pct
Roasted Corn Dip,Food,COMPLETE,--,$29.95,
Citrus Pulled Pork,Food,COMPLETE,N/A,$122.33,
Bees Knees,COCKTAILS,COMPLETE,$12.00,$21.05,175.45%
Maplewood Fat Pug,Draft Beer,COMPLETE,--,$1.51,
Strawberry Spritz,COCKTAILS,COMPLETE,$11.00,$2.69,24.47%
Aperol Spritz,COCKTAILS,COMPLETE,$11.00,$2.31,20.97%
Margarita,COCKTAILS,COMPLETE,$10.00,$1.44,14.39%
Lychee Mojito,COCKTAILS,COMPLETE,$11.00,$1.98,18.04%
WEDS BENZIGER MERLOT $5,Wine,COMPLETE,$3.00,$2.60,86.61%
Tullamore Dew Neat,LIQUOR,COMPLETE,$13.00,$1.24,9.55%
Avissi Split,Wine,COMPLETE,$12.00,$3.00,25%
Benziger Merlot,Wine,COMPLETE,--,$2.60,
Solemn Oath Death By Vikings,--,COMPLETE,--,$1.56,
400 Conejos Mezcal,LIQUOR,COMPLETE,--,$1.46,
Blueberry Bourbon Smash,COCKTAILS,COMPLETE,--,$2.15,
Espresso Martini,COCKTAILS,DRAFT,$12.00,$1.73,14.44%
Pickle Martini,LIQUOR,COMPLETE,$12.00,$1.52,12.63%
Mojito,COCKTAILS,COMPLETE,$10.00,$1.75,17.5%
Avocado Margarita,COCKTAILS,COMPLETE,$12.00,$1.98,16.48%
Captain Morgan Martini,LIQUOR,COMPLETE,$13.50,$2.51,18.58%
Bacardi Martini,LIQUOR,COMPLETE,$13.50,$1.72,12.7%
Malibu Strawberry Martini,LIQUOR,COMPLETE,$12.75,$0.00,
Malibu Martini,LIQUOR,COMPLETE,$12.75,$2.02,15.86%
Dewars Martini,LIQUOR,COMPLETE,$14.25,$2.79,19.59%
Johnnie Walker Red Martini,LIQUOR,COMPLETE,$15.00,$3.27,21.81%
Glenlivet 15 Year Martini,LIQUOR,COMPLETE,$21.00,$0.00,
Glenfiddich 12 Year Martini,LIQUOR,COMPLETE,$18.00,$0.00,
