"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Jackson Ave Pub - Naperville","Pomegranate Martini ","Complete","COCKTAILS","Recipe","20.79156011986596","148.51114371332827","0","0","14","100","-48.51114371332828","20.79156011986596","148.51","02/03/2026 20:03:19","","","","","","1","","20.79156011986596"
"Jackson Ave Pub - Naperville","Pineapple Basil Margarita ","Complete","COCKTAILS","Recipe","1.4618070966083194","14.618070966083193","0","0","10","100","85.3819290339168","1.4618070966083194","14.62","02/03/2026 20:03:08","","","","","","1","","1.4618070966083194"
"Jackson Ave Pub - Naperville","New Holland Dragon's Milk","Complete","Draft Beer ","Recipe","1.29602713178459","18.514673311208426","0","0","7","100","81.48532668879157","1.29602713178459","18.51","01/31/2026 22:35:51","","","","","","1","","1.29602713178459"
"Jackson Ave Pub - Naperville","Spicy Honey Butter Sauce ","Complete","Food","PrepRecipe","14.540208333333332","103.85863095238095","0","0","0","100","0","14.540208333333332","0","01/30/2026 23:17:23","","","47","fl oz","","1","","0.30936613475177305"
"Jackson Ave Pub - Naperville","Guinness","Complete","BOTTLED BEER","Recipe","1.84166666666667","36.83333333333339","0","0","5","100","63.16666666666661","1.84166666666667","36.83","01/29/2026 17:19:54","","","","","","1","each","1.84166666666667"
"Jackson Ave Pub - Naperville","Lychee Spritz","Draft","COCKTAILS","Recipe","1.336939397764364","12.153994525130582","0","0","11","100","87.84600547486941","1.336939397764364","12.15","01/28/2026 03:58:22","","","","","","1","each","1.336939397764364"
"Jackson Ave Pub - Naperville","Weds Avissi Split","Complete","Wine","Recipe","3","50","0","0","6","100","50","3","50","01/28/2026 03:56:20","","","","","","1","each","3"
"Jackson Ave Pub - Naperville","Weds Whispering Angel","Complete","Wine","Recipe","4.61356466876972","65.90806669671029","0","0","7","100","34.091933303289714","4.61356466876972","65.91","01/28/2026 03:55:25","","","","","","1","each","4.61356466876972"
"Jackson Ave Pub - Naperville","Barone Fini Pinot Grigio","Complete","Wine","Recipe","2.24763406940063","22.476340694006296","0","0","10","100","77.5236593059937","2.24763406940063","22.48","02/27/2026 20:39:30","","","","","","6","fl oz","0.3746056782334383"
"Jackson Ave Pub - Naperville","Weds Barone Fini Pinot Grigio","Complete","Wine","Recipe","2.24763406940063","44.95268138801259","0","0","5","100","55.04731861198741","2.24763406940063","44.95","01/28/2026 03:49:47","","","","","","1","each","2.24763406940063"
"Jackson Ave Pub - Naperville","Weds Kim Crawford ","Complete","Wine","Recipe","2.37154150197628","39.52569169960467","0","0","6","100","60.47430830039533","2.37154150197628","39.53","01/28/2026 03:46:29","","","","","","1","each","2.37154150197628"
"Jackson Ave Pub - Naperville","Weds Chateau St Sulpice","Complete","Wine","Recipe","2.8391167192429","47.31861198738167","0","0","6","100","52.681388012618335","2.8391167192429","47.32","01/28/2026 03:39:57","","","","","","1","each","2.8391167192429"
"Jackson Ave Pub - Naperville","Weds Unshackled ","Complete","Wine","Recipe","3.08300395256917","44.042913608131","0","0","7","100","55.957086391869005","3.08300395256917","44.04","01/28/2026 03:37:41","","","","","","1","each","3.08300395256917"
"Jackson Ave Pub - Naperville","Weds Meiomi Pinot Noir","Complete","Wine","Recipe","3.07570977917981","41.00946372239746","0","0","7.5","100","58.99053627760254","3.07570977917981","41.01","01/28/2026 03:36:40","","","","","","1","each","3.07570977917981"
"Jackson Ave Pub - Naperville","Meiomi","Complete","Wine","Recipe","3.07570977917981","20.50473186119873","0","0","15","100","79.49526813880126","3.07570977917981","20.5","02/27/2026 20:39:30","","","","","","6","fl oz","0.5126182965299683"
"Jackson Ave Pub - Naperville","Weds Layer Cake","Complete","Wine","Recipe","2.42507886435331","40.417981072555165","0","0","6","100","59.582018927444835","2.42507886435331","40.42","01/28/2026 03:33:49","","","","","","1","each","2.42507886435331"
"Jackson Ave Pub - Naperville","Layer Cake Malbec","Complete","Wine","Recipe","2.42507886435331","20.208990536277582","0","0","12","100","79.79100946372242","2.42507886435331","20.21","02/27/2026 20:39:30","","","","","","6","fl oz","0.40417981072555165"
